image_id,caption1,caption2,caption3,caption4,caption5,caption6,caption7,caption8,caption9,caption10
0,a boy runs after the slide,a boy playing with his dog,a boy that is outside,a person walking near a slide that is next to the playground,a cartoon scene of a girl running near the playground,a kid playing in the grass and two kids climbing around,children playing with a dog,a child playing with his dog in the yard,a child is running toward the dog,a young boy walking near a slide on the playground
1,a man sitting in an armchair is watching tv,living room scene showing person sitting on a couch in front of three frames and two paintings hanging on the wall,a man is sitting on the couch in front of a tv screen,a cartoon is sitting in a chair with his feet on the sofa,the person is sitting on a chair,an image of a woman watching tv on the couch,a man sitting on a couch with a computer,a man sits in the middle of a living room,a person on a couch,a cartooned person is sitting on a couch
2,a man in the living room playing with his dog,a cartoon man with his dog standing on the chair,dog - play free game for pc - screenshoteletub,a man and dog are in the living room,a man is sitting in front of the sofa,a person is standing in front of a couch,a man with a dog standing in front of a couch,a cartoon of a man in his living room,a person is playing with a dog in front of a couch,the kid is in the living room with his cat
3,the dog is running around,a living room,a dog running to the cat,a man and his dog sitting on the couch,a white dog running through a room,the dog is white,white dog on rug,white cat chasing a dog in a living room,a man sitting in a chair while a cat is on the rug,brown wooden chair
4,a person in the grass with trees and rocks,"a cartoon man and woman in the woods with flowers, rocks, and trees",the girl is standing in front of a small pond,the man is walking in the park,"the woman and man are in a field, one is throwing an object",a cartoon image of people standing in the woods,a cartoon is sitting down and talking to his friend about the truth,a woman standing next to a pond near trees,girl with bird and fish,"illustration of two people sitting in a park, and one person standing beside an pond"
5,a little boy is playing on the sidewalk,a man and his son walking along the road,a boy and his father are walking through the park,a woman walking a small child in the park,a man walking down a path with a child,a person is walking near the bench and the child is chasing him,a man holding his son ' s hand as he walks down a paved path with park benches in the background,the child is walking with his parents in the park,an illustration of a person walking along the park with a bird flying nearby on his shoulder,a man walking down the sidewalk with a child in front of him
6,a man in the middle of an obstacle,a man in business suit jumping over the top of a obstacle,man trying to get a jump off a tree,a cartoon is jumping on the top of a ladder,a man jumping over a fence with trees in the background,a man in the air flying over an obstacle,a man in black suit jumping into the air over an obstacle,boy swinging on a swings swing,a man in black jumps over a blue sky with trees on both sides,boy in black jumps into blue hole
7,a cartoon of a man playing with his dog,a man is standing near his door and petting,the dog and his owner are in a room with two windows,screenshote and the door walk,a person is standing in front of a cat,a man stands in front of his house and a dog walks behind him,a man stands in a room with two cats,a cartoon picture of the person with his dog,a person is standing in the living room and looking at a dog,an animated version of a man standing in a living room and looking at a cat
8,a woman standing in a room with her child,a girl and her child in the room,the woman is playing with her dog and a chair,a couple and their dog are looking in the mirror,the image of a room is in an artist ' s perspective,a room with two people and a dog,a cartoon of two people and their dog in a room,a woman is standing next to a little girl in her room,a woman and two children playing with a dog in a living room,a couple are in the living room with their dog
9,the man is trying to catch the dog,a person walking a dog in a field,man riding a horse,a dog running away and walking with its owner,a man running on grass with a dog,a person is walking near some trees,cartoon drawing of a man in the park,a man in the park with a dog and ball,a cartoon man holding on to his dog,a man and his dog walking in the grass
10,the carpet is red,dog sitting in room,a boy in white shirt and blue jeans plays with a cat,dog on the carpet,a boy sits in the room and plays with his dog,a man sitting on the floor next to a dog,cat run free - screenshoto,the man is sitting on the carpet and playing with a cat,a boy playing with his dog in a room,a man and his dog are in the room
11,a man running next to a tree and some animals,a person is holding onto a log in the field,a person is running through the park while another person looks on,man carrying a big tree,a man walking past a large piece of wood in the forest,a man running through the woods towards a dead tree,boy is holding a log,boy is running with a dog,the boy is walking in front of some trash bags,an animated drawing of a man in a park
12,a person is standing in the grass with an object,a woman throwing rocks in the ground and an owl is sitting on it,the cartoon is looking at a giant turtle that has fallen to it ' s belly,the illustration shows a person in front of two alligators,the little prince in the garden is standing near a tree,a man and an object are on the grass,a man and an elephant are playing on the ground,a woman is throwing rocks at the ground,a man is throwing a ball into the hole in front of him,an image of a person playing with an object
