image_id,combined_caption
0,a boy runs after the slide a boy playing with his dog a boy that is outside a person walking near a slide that is next to the playground a cartoon scene of a girl running near the playground a kid playing in the grass and two kids climbing around children playing with a dog a child playing with his dog in the yard a child is running toward the dog a young boy walking near a slide on the playground the woman is enjoying a beautiful sunny day at the park a women walking in a park by the play ground a lady in a kids park all by herself a woman passes by an empty playground at a park a woman dances in the playground under the sun
1,a man sitting in an armchair is watching tv living room scene showing person sitting on a couch in front of three frames and two paintings hanging on the wall a man is sitting on the couch in front of a tv screen a cartoon is sitting in a chair with his feet on the sofa the person is sitting on a chair an image of a woman watching tv on the couch a man sitting on a couch with a computer a man sits in the middle of a living room a person on a couch a cartooned person is sitting on a couch a woman sitting on a couch while a mouse runs by a woman sitting on a sofa watching a mouse run across the floor the old lady is frightened by the mouse an elderly lady has a scared look with a mouse on the ground an elderly woman scared of a rat that is on the floor by the table
2,a man in the living room playing with his dog a cartoon man with his dog standing on the chair dog - play free game for pc - screenshoteletub a man and dog are in the living room a man is sitting in front of the sofa a person is standing in front of a couch a man with a dog standing in front of a couch a cartoon of a man in his living room a person is playing with a dog in front of a couch the kid is in the living room with his cat the boy is standing on a stool trying to get the puppy to jump for the bone the boy offers his dog a bone to eat the boy is standing on a stool holding a bone the boy is standing on the stool holding a bone for the dog a young boy stands on a step stool as he teases his pet dog with a bone
3,the dog is running around a living room a dog running to the cat a man and his dog sitting on the couch a white dog running through a room the dog is white white dog on rug white cat chasing a dog in a living room a man sitting in a chair while a cat is on the rug brown wooden chair a boy is watching a cat chase a mouse across a room the cat is chasing a mouse across the carpet a boy is upset to see a cat chasing a mouse a little boy looks at a cat chasing a rat a boy is sitting on a couch and watching a dog chase a mouse
4,"a person in the grass with trees and rocks a cartoon man and woman in the woods with flowers, rocks, and trees the girl is standing in front of a small pond the man is walking in the park the woman and man are in a field, one is throwing an object a cartoon image of people standing in the woods a cartoon is sitting down and talking to his friend about the truth a woman standing next to a pond near trees girl with bird and fish illustration of two people sitting in a park, and one person standing beside an pond two girls in a field near a small pond a girl sits on a log looking at a pond while another girl stands beside her two girls play together in a park full of wildlife together two little girls are near a pond in the woods two girls enjoy nature and watch a duck swim in the pond"
5,a little boy is playing on the sidewalk a man and his son walking along the road a boy and his father are walking through the park a woman walking a small child in the park a man walking down a path with a child a person is walking near the bench and the child is chasing him a man holding his son ' s hand as he walks down a paved path with park benches in the background the child is walking with his parents in the park an illustration of a person walking along the park with a bird flying nearby on his shoulder a man walking down the sidewalk with a child in front of him a mom and daughter enjoying the park on a sunny day a mother and her daughter are taking a walk at the park a woman and girl walk through a park near a bench mommy and her little girl go for a walk on the sidewalk mother and daughter walking down the sidewalk on a sunny day
6,a man in the middle of an obstacle a man in business suit jumping over the top of a obstacle man trying to get a jump off a tree a cartoon is jumping on the top of a ladder a man jumping over a fence with trees in the background a man in the air flying over an obstacle a man in black suit jumping into the air over an obstacle boy swinging on a swings swing a man in black jumps over a blue sky with trees on both sides boy in black jumps into blue hole girl playing on the monkey bars at the park a little girl in black on the monkey bars the girl on the playground has fun next to the pond a girl is hanging from a monkey bar near a tree pond and pathway the girl is on the monkey bars in the park
7,a cartoon of a man playing with his dog a man is standing near his door and petting the dog and his owner are in a room with two windows screenshote and the door walk a person is standing in front of a cat a man stands in front of his house and a dog walks behind him a man stands in a room with two cats a cartoon picture of the person with his dog a person is standing in the living room and looking at a dog an animated version of a man standing in a living room and looking at a cat he is so pleased with his new dog a man looks on as his dog runs around indoors a dog runs in front of a man as he walks across a room the man watched his new dog prance across the room a man is watching his small dog run across the room
8,a woman standing in a room with her child a girl and her child in the room the woman is playing with her dog and a chair a couple and their dog are looking in the mirror the image of a room is in an artist ' s perspective a room with two people and a dog a cartoon of two people and their dog in a room a woman is standing next to a little girl in her room a woman and two children playing with a dog in a living room a couple are in the living room with their dog a mother and her son celebrate their pet cats birthday by giving him a cake that is placed on top of a small table two kids are standing next to a cat in a room a boy and a girl standing by a table with a picnic basket on it and a white cat walking toward a stool with an ice cream sundae on it the girl and the boy are in the dining room and the cat wants the cupcakes a boy and a girl with a cat in a room
9,the man is trying to catch the dog a person walking a dog in a field man riding a horse a dog running away and walking with its owner a man running on grass with a dog a person is walking near some trees cartoon drawing of a man in the park a man in the park with a dog and ball a cartoon man holding on to his dog a man and his dog walking in the grass the man plays with the dog near the tree a man kneels down to pet a small dog an older man kneels down to play with his dog outside an old man kneels on the grass to play with a dog man playing with dog near a bush and bench
10,the carpet is red dog sitting in room a boy in white shirt and blue jeans plays with a cat dog on the carpet a boy sits in the room and plays with his dog a man sitting on the floor next to a dog cat run free - screenshoto the man is sitting on the carpet and playing with a cat a boy playing with his dog in a room a man and his dog are in the room boy in white shirt plays with cat on the rug in front of the fireplace the little boy is looking at the cat playing with the ball a child observes his cat playing with a ball of yarn a young boy is sitting on a rug with a cat playing with a ball of string the boy is sitting on the rug playing with the cat
11,a man running next to a tree and some animals a person is holding onto a log in the field a person is running through the park while another person looks on man carrying a big tree a man walking past a large piece of wood in the forest a man running through the woods towards a dead tree boy is holding a log boy is running with a dog the boy is walking in front of some trash bags an animated drawing of a man in a park on a sunny day a deer jumps over a fallen log near a boy wearing a white shirt and blue pants a boy watches as a deer leaps over a log near the pond the deer is jumping over the big brown log a boy running past a pond and deer a deer is jumping of a log towards the pond while a boy leaps the opposite way
12,a person is standing in the grass with an object a woman throwing rocks in the ground and an owl is sitting on it the cartoon is looking at a giant turtle that has fallen to it ' s belly the illustration shows a person in front of two alligators the little prince in the garden is standing near a tree a man and an object are on the grass a man and an elephant are playing on the ground a woman is throwing rocks at the ground a man is throwing a ball into the hole in front of him an image of a person playing with an object the woman stands near the pond in the park a woman stands near a small koi pond the woman is watching the frog in the pond the woman is delighted to see fish and ducks cohabiting in the same small pond a woman stands between a pond and a tree
13,a man and woman standing next to each other people a man and woman standing near some trees a person is holding their arms as if hes not going there cartoon of two people in park a couple walking towards a turtle at the park the man is holding a gun near the water hole a cartoon image of people in the park a couple walking past some trees with bags an animated animation of a scene from the upcoming film an illustration of a person walking next to a small pool a woman is standing in the park near the pond with lilypads woman near a pond with four lily pads on top the woman is standing next to pond at a park a woman stands near a pond full of turtles a woman standing near a small pond and a tree
14,three people walking towards a wooden structure people are in a park the illustration depicts a woman helping to children a cartoon illustration of people playing in the park a couple of kids that are jumping and having children playing in park clip art people in a park the kids are running around on the playground the kids are jumping and playing in a park the cartoon picture depicts children in a park a woman walking with a girl waving at another woman with a boy two waving girls on a sidewalk near a bench their play date was set for frisbee in the park the 2 women are waving to each other across the park the women are waving to each other in the park
15,"how to talk the enemy a man sits on a chair in front of a window, looking at a cat and the windows the animated illustration of a man sitting on a chair and looking at his phone an image of a woman sitting in front of a door a woman sitting at the door looking out into her living room a woman sitting at the table looking at her cell a person sitting in a room next to an open door a person is sitting in front of a window a person sitting on a chair looking at a cat hanging from the ceiling an image of a person sitting on a chair in front of a window a young woman is sitting on a brown stool while laughing the woman is sitting on the stool in the room a woman sits alone on a stool by the front door a woman in black sitting on a bar stool a young woman is enjoying a cookie snack"
16,man on bike looking at dog in park a person is riding their bike on the sidewalk man and dog in the park with a playground the woman is sitting on a bench with her bike a person sitting on a bench with another walking by an image of a person riding on a bike a person is riding on a bike near some other people a man riding on top of a bike next to a woman who is standing behind the park bench two people sitting on a park bench and a bike an image of two people in a park the old man acknowledges the lady with the yellow bike the woman sees a co worker in the park the old man is sitting on the bench in the park a lady walking her bike passing an elderly man sitting on a bench with his puppy hiding underneath old man on bench near woman with orange bike
17,a man is jumping over the beam while another looks on a man sitting on the ground next to a bench and trees a person is doing a pull up toy in the grass the man is sitting on a bench in front of trees a man sitting on top of a bench next to trees a man standing on top of an obstacle a person is sitting on a bench under a tree a man sitting on a sees board a man is walking on a large log a man sitting on a bench in the middle of a park old man is sitting on a log by the seesaw an old man is sitting on a log next to a red seesaw an older man stretches his legs while sitting on a log an old man is sitting on a log at the park on a sunny day the senior man is sitting on a log at the park
18,"the four boys are playing with each other children a family is playing in the living room with their children christmas living room clipart - photo 2 a group of people standing in front of a fireplace the christmas story, showing two men with a child and a fireplace a family playing around the fire in their living room a group of people standing around a fire the kids are gathered around the christmas fireplace to watch out their neighbor a family playing in the living room a family playing around the fireplace the children are playing in front of the fireplace two women and a young boy near the fire place with two babies on the floor playing the twins play with blocks and a dog runs away with a bone as a woman shimmies and a woman and a boy sit on stools watching this family is having a good time playing in the living room a woman and a boy laugh while two babies play with blocks and another woman gets chased by a dog with a bone"
19,a cartoon man sitting on the sofa with his arms out to a dog a man sitting on a red couch man sits in red chair a man sitting on the red chair watching a cat an image of a man sitting on a couch in his living room a person sitting on the chair a red chair a drawing of a man sitting on an armchair a cat sitting on the chair red chair in room a woman is very happy to have her feed up and a plate of dessert a women is sitting on the couch with her feet propped on a stool and has a plate of food in her hands the woman is relaxing while holding a piece of pie while her dog plays on a chair a woman sits on a sofa with her feet on a stool while holding dessert the woman is on the edge of her seat with her feet propped on a stool balancing a plate of food
20,two people are outside playing barbecue a man is sitting down with two children and grilling two people are sitting outside on a park bench a drawing of people enjoying in a park a person is riding on the bench a group of people in an animated scene an image of a man and woman sitting at a bench outside a cartoon picture of three people playing soccer and having fun with their kids a person with an apron and some kind of tool sitting on top of the bench in a park a drawing of people eating at a park older kid is grillinggrandpa restingyounger kid on the monkey bars a boy hangs from the monkey bars while a man grills steaks and a lady watches from the bench a boy plays on the monkey bars while an old woman watches from a bench and a man grills in the background man cooking on the grill lady sitting on park bench while kid plays boy on monkey bars near a man grilling and woman on bench
21,a man sitting in a chair watching his dog the dog is sitting on a bench next to a man and a cat a man sits on an outdoor bench under the tree and has his hand on a small cat a cartoon style picture of the cat and the man an illustration of a man sitting on a bench a man sitting in a lawn next to his cat a person sitting on a bench in a field a cartoon dog is sitting on a lawn next to a park bench with a man a dog is looking at the man a dog that is walking next to a chair an old man is sitting awkwardly on a red slide looking at a white cat beside a teetertotter in a park with lots of wildlife in it old man goes down slide at park on sunny day an older man is sitting on a slide while watching a cat the old man is sitting on the slide watching a squirrel the old man is sitting on the red slide
