image_id,question,multiple_choices,question_id,question_type,multiple_choice_answer,answer_type,answers_multiple_users
0,What color is the ladies pants?,"['1', '3', 'brown', 'wildlife', 'not having tv', 'yellow', 'yes', 'black', '4', 'it is near sunset', 'blue', 'pink', 'red', '2', 'tan', 'couple', 'white', 'no']",0,what color is the,tan,other,"['tan', 'tan', 'brown', 'tan', 'tan', 'color of ladies pant is brown', 'brown', 'beige', 'tan', 'brown']"
0,How is the equipments with bars called?,"['get warm', 'yes', 'playful', 'pug', 'red', 'fitness system', 'yellow', 'watermark', 'monkey bars', 'blue', 'no', 'white', '2', 'man and girl', 'sunny', '3', '4', '1']",1,how,monkey bars,other,"['monkey bars', 'monkey bars', 'monkey bars', 'monkey bars', 'climbing device', 'monkey bars', 'monkey bars', 'monkey bars', 'monkey bars', 'monkey bars']"
0,Is the bench a toy?,"['1', 'csi', 'real', 'n', 'red', 'solid', 'blocks and car', 'blocks, robot, dollhouse', 'yellow', 'white', 'shallow', 'blue', 'opening', '3', '4', '2', 'no', 'yes']",2,is the,no,yes/no,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
0,How many people are in the image?,"['13', '3', '18', '2', '14', '12', '16', '20', '0', '7', '1', '4', '10', '9', '17', '5', '6', '11']",3,how many,1,number,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']"
1,Is the woman on the couch sporting white hair?,"['1', '3', 'idk', 'no', '2', 'red', 'skinny', 'blue', 'yes', 'hind legs', 'white', 'armrest', 'brown', 'next to tv', 'comfort', '4', 'kids', 'yellow']",10,is the woman,yes,yes/no,"['yes', 'yes', 'no', 'yes', 'no', 'yes', 'yes', 'yes', 'yes', 'yes']"
1,What is the woman doing?,"['4', 'yellow', 'no', '2', 'reading', 'holding table', 'bare', 'yes', 'white', '1', 'red', 'eating', 'sitting', 'glass', '3', 'dancing', 'older', 'blue']",11,what is the woman,sitting,other,"['sitting', 'sitting on couch', 'shooing away mouse', 'sitting', 'sitting', 'sitting', 'sitting', 'freaking out', 'staying away from mouse', 'sitting']"
1,Is that grandma's pet rat?,"['sweet', 'yellow', ""what's neighbor"", 'white', '4', 'blue', 'no', 'd', '1', 'ni', 'looking at dog', 'red and green', '2', 'yes', 'musical chairs', 'silver', '3', 'red']",12,is that,no,yes/no,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1,How many people are in the image?,"['3', '13', '18', '2', '14', '15', '12', '16', '19', '0', '1', '10', '9', '7', '4', '17', '6', '11']",13,how many,1,number,"['1', '1', '20', '1', '1', '1', '16', '1', '20', '1']"
2,What does the dog want to chew on?,"['shoes', 'handing it to woman', 'dog food', 'pizza', 'bone', '2', 'red', '4', '1', '3', 'blue', 'b c d', 'yellow', '17', 'buckets', 'no', 'yes', 'white']",20,what,bone,other,"['bone', 'bone', 'bone', 'bone', 'bone', 'bone', 'bone', 'bone', 'bone', 'bone']"
2,Is anyone sitting on the sofa?,"['no image', 'no', 'yellow', 'white', '3', '1', 'on stool', 'blue', 'on bench', '4', 'on bush', 'in girls hands', 'jump rope', '2', 'man', 'yes', 'red', 'round']",21,is anyone,no,yes/no,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
