image_id,question,question_type,answer_type,multiple_choice_answer,question_id,multiple_choices,answers_multiple_users
0,How many people are in the image?,how many,number,1,3,"['13', '3', '18', '2', '14', '12', '16', '20', '0', '7', '1', '4', '10', '9', '17', '5', '6', '11']","['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']"
1,How many people are in the image?,how many,number,1,13,"['3', '13', '18', '2', '14', '15', '12', '16', '19', '0', '1', '10', '9', '7', '4', '17', '6', '11']","['1', '1', '20', '1', '1', '1', '16', '1', '20', '1']"
2,How many people are in the image?,how many,number,1,23,"['13', '18', '17', '8', '15', '12', '16', '20', '19', '0', '7', '1', '9', '4', '2', '5', '6', '11']","['1', '1', '9', '2', '1', '1', '1', '1', '1', '1']"
3,How many people are in the image?,how many,number,1,33,"['3', '13', '18', '14', '15', '8', '12', '16', '20', '19', '0', '1', '9', '4', '10', '2', '6', '11']","['1', '1', '1', '13', '18', '17', '1', '1', '18', '4']"
4,How many people are in the image?,how many,number,2,43,"['3', '13', '14', '15', '17', '12', '16', '20', '19', '0', '7', '1', '4', '9', '10', '2', '5', '6']","['2', '4', '2', '14', '2', '10', '20', '2', '2', '10']"
5,How many people are in the image?,how many,number,2,53,"['3', '18', '17', '15', '8', '12', '16', '19', '20', '0', '10', '9', '4', '1', '2', '5', '6', '11']","['2', '2', '19', '2', '2', '2', '2', '2', '2', '2']"
6,How many people are in the image?,how many,number,1,63,"['3', '13', '18', '14', '15', '8', '12', '16', '20', '0', '9', '7', '1', '10', '17', '5', '6', '11']","['1', '1', '1', '19', '1', '1', '0', '0', '18', '1']"
7,How many people are in the image?,how many,number,1,73,"['13', '3', '17', '8', '14', '15', '19', '20', '16', '0', '1', '7', '9', '10', '4', '2', '6', '11']","['1', '8', '19', '1', '1', '15', '8', '1', '1', '1']"
8,How many people are in the image?,how many,number,2,83,"['13', '3', '18', '15', '8', '12', '19', '20', '0', '1', '7', '4', '10', '9', '2', '5', '6', '11']","['2', '2', '17', '11', '13', '2', '20', '2', '2', '2']"
9,How many people are in the image?,how many,number,1,93,"['13', '18', '14', '15', '8', '19', '20', '16', '0', '10', '1', '9', '7', '4', '17', '5', '6', '11']","['1', '1', '1', '0', '1', '19', '10', '1', '1', '1']"
10,How many people are in the image?,how many,number,1,103,"['13', '3', '18', '2', '14', '15', '8', '12', '16', '20', '0', '1', '7', '4', '10', '9', '17', '6']","['1', '1', '1', '1', '13', '1', '6', '20', '1', '1']"
11,How many people are in the image?,how many,number,1,113,"['13', '3', '18', '2', '14', '15', '16', '19', '0', '7', '1', '9', '10', '4', '17', '5', '6', '11']","['1', '4', '1', '1', '1', '16', '1', '1', '1', '1']"
12,How many people are in the image?,how many,number,1,123,"['3', '18', '2', '14', '8', '15', '12', '16', '20', '19', '0', '9', '7', '1', '10', '17', '5', '11']","['1', '1', '1', '1', '1', '10', '1', '19', '1', '10']"
13,How many people are in the image?,how many,number,1,133,"['13', '3', '2', '14', '15', '8', '12', '19', '20', '16', '0', '1', '9', '7', '17', '5', '6', '11']","['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']"
